1000
op_type,chunk_size,block_id,exec_time
free,45744128,105,117.000000
free,48324608,106,117.000000
free,19103744,107,78.000000
free,37994496,108,117.000000
free,7528448,109,195.000000
malloc,35774464,110,2301.000000
malloc,17883136,111,1209.000000
malloc,15368192,112,1364.000000
malloc,30097408,113,3003.000000
malloc,14589952,114,1677.000000
malloc,11436032,115,2574.000000
malloc,11739136,116,1248.000000
malloc,48939008,117,1794.000000
malloc,42377216,118,2730.000000
malloc,25296896,119,1248.000000
free,35774464,110,156.000000
free,17883136,111,117.000000
free,15368192,112,78.000000
free,30097408,113,117.000000
free,14589952,114,117.000000
free,11436032,115,117.000000
free,11739136,116,78.000000
free,48939008,117,117.000000
free,42377216,118,117.000000
free,25296896,119,156.000000
malloc,32743424,120,1521.000000
malloc,8732672,121,1248.000000
malloc,20692992,122,2028.000000
malloc,52240384,123,1248.000000
malloc,5095424,124,1560.000000
malloc,42729472,125,1833.000000
malloc,41050112,126,2184.000000
malloc,27533312,127,1560.000000
malloc,49618944,128,1287.000000
malloc,7331840,129,1560.000000
free,32743424,120,117.000000
free,8732672,121,117.000000
free,20692992,122,117.000000
free,52240384,123,117.000000
free,5095424,124,78.000000
free,42729472,125,117.000000
free,41050112,126,117.000000
free,27533312,127,117.000000
free,49618944,128,117.000000
free,7331840,129,156.000000
malloc,3989504,130,1638.000000
malloc,3039232,131,1833.000000
malloc,42483712,132,1482.000000
malloc,933888,133,1053.000000
malloc,21487616,134,2691.000000
malloc,43696128,135,1404.000000
malloc,46678016,136,1248.000000
malloc,17375232,137,1755.000000
malloc,10362880,138,1287.000000
malloc,32235520,139,1287.000000
free,3989504,130,117.000000
free,3039232,131,117.000000
free,42483712,132,78.000000
free,933888,133,117.000000
free,21487616,134,117.000000
free,43696128,135,117.000000
free,46678016,136,116.000000
free,17375232,137,117.000000
free,10362880,138,117.000000
free,32235520,139,156.000000
malloc,24903680,140,2028.000000
malloc,46137344,141,1599.000000
malloc,50110464,142,1248.000000
malloc,40263680,143,1287.000000
malloc,23805952,144,1287.000000
malloc,12263424,145,1365.000000
malloc,51699712,146,1482.000000
malloc,35545088,147,2262.000000
malloc,8773632,148,2145.000000
malloc,41639936,149,2613.000000
free,24903680,140,273.000000
free,46137344,141,155.000000
free,50110464,142,78.000000
free,40263680,143,117.000000
free,23805952,144,117.000000
free,12263424,145,117.000000
free,51699712,146,78.000000
free,35545088,147,195.000000
free,8773632,148,117.000000
free,41639936,149,156.000000
malloc,8404992,150,1911.000000
malloc,41508864,151,1248.000000
malloc,50372608,152,1053.000000
malloc,29097984,153,1326.000000
malloc,41320448,154,1248.000000
malloc,3031040,155,1287.000000
malloc,19390464,156,1287.000000
malloc,29933568,157,218400.000000
malloc,30564352,158,3276.000000
malloc,16580608,159,1365.000000
free,8404992,150,546.000000
free,41508864,151,468.000000
free,50372608,152,390.000000
free,29097984,153,351.000000
free,41320448,154,351.000000
free,3031040,155,312.000000
free,19390464,156,117.000000
free,29933568,157,117.000000
free,30564352,158,117.000000
free,16580608,159,234.000000
malloc,37265408,160,1365.000000
malloc,34545664,161,1677.000000
malloc,19619840,162,1599.000000
malloc,27320320,163,1638.000000
malloc,35479552,164,2574.000000
malloc,41099264,165,1677.000000
malloc,18579456,166,1170.000000
malloc,29720576,167,1365.000000
malloc,6045696,168,1326.000000
malloc,28942336,169,1872.000000
free,37265408,160,156.000000
free,34545664,161,117.000000
free,19619840,162,117.000000
free,27320320,163,117.000000
free,35479552,164,117.000000
free,41099264,165,117.000000
free,18579456,166,117.000000
free,29720576,167,78.000000
free,6045696,168,117.000000
free,28942336,169,156.000000
malloc,9519104,170,1794.000000
